protein_id,has_esm,has_prott5,has_prostt5,has_ankh3_large,has_esm3c
10H_STRNX,1,1,1,1,1
11H_STRNX,1,1,1,1,1
11K_PAVHV,1,1,1,1,1
11S1_CARIL,1,1,1,1,1
11S1_MACIN,1,1,1,1,1
11S2_SESIN,1,1,1,1,1
128UP_DROME,1,1,1,1,1
13KDA_SCYCA,1,1,1,1,1
13KDA_TRISC,1,1,1,1,1
14310_ARATH,1,1,1,1,1
14311_ARATH,1,1,1,1,1
14331_ARATH,1,1,1,1,1
14331_CAEEL,1,1,1,1,1
14331_MAIZE,1,1,1,1,1
14332_ARATH,1,1,1,1,1
14332_CAEEL,1,1,1,1,1
14332_MAIZE,1,1,1,1,1
14333_ARATH,1,1,1,1,1
14333_ENTH1,1,1,1,1,1
14336_ARATH,1,1,1,1,1
14338_ARATH,1,1,1,1,1
1433B_HUMAN,1,1,1,1,1
1433B_MOUSE,1,1,1,1,1
1433B_RAT,1,1,1,1,1
1433B_XENTR,1,1,1,1,1
1433_CANAL,1,1,1,1,1
1433_DICDI,1,1,1,1,1
1433E_BOVIN,1,1,1,1,1
1433E_DROME,1,1,1,1,1
1433E_HUMAN,1,1,1,1,1
1433E_MOUSE,1,1,1,1,1
1433E_RAT,1,1,1,1,1
1433F_HUMAN,1,1,1,1,1
1433F_MOUSE,1,1,1,1,1
1433F_RAT,1,1,1,1,1
1433G_HUMAN,1,1,1,1,1
1433_GIAIC,1,1,1,1,1
1433G_MOUSE,1,1,1,1,1
1433G_RAT,1,1,1,1,1
1433I_PLAF7,1,1,1,1,1
1433S_HUMAN,1,1,1,1,1
1433S_MOUSE,1,1,1,1,1
1433T_HUMAN,1,1,1,1,1
1433T_MOUSE,1,1,1,1,1
1433T_RAT,1,1,1,1,1
1433Z_CHICK,1,1,1,1,1
1433Z_DROME,1,1,1,1,1
1433Z_HUMAN,1,1,1,1,1
1433Z_MOUSE,1,1,1,1,1
1433Z_RAT,1,1,1,1,1
143BA_DANRE,1,1,1,1,1
143G1_DANRE,1,1,1,1,1
18C_DROME,1,1,1,1,1
1A111_ARATH,1,1,1,1,1
1A11_ORYSJ,1,1,1,1,1
1A12_ARATH,1,1,1,1,1
1A12_ORYSJ,1,1,1,1,1
1A14_ARATH,1,1,1,1,1
1A15_ARATH,1,1,1,1,1
1A16_ARATH,1,1,1,1,1
1A17_ARATH,1,1,1,1,1
1A18_ARATH,1,1,1,1,1
1A19_ARATH,1,1,1,1,1
1A1C_MALDO,1,1,1,1,1
1A1L1_HUMAN,1,1,1,1,1
1A_BMV,1,1,1,1,1
1FEH1_WHEAT,1,1,1,1,1
1MMP_ARATH,1,1,1,1,1
22P1_RAT,1,1,1,1,1
2A51_CAEEL,1,1,1,1,1
2A5A_ARATH,1,1,1,1,1
2A5A_HUMAN,1,1,1,1,1
2A5A_MOUSE,1,1,1,1,1
2A5B_ARATH,1,1,1,1,1
2A5B_HUMAN,1,1,1,1,1
2A5B_RAT,1,1,1,1,1
2A5D_HUMAN,1,1,1,1,1
